20-4-18 上午11:42
项目统计数据

       	 片段数	  单词数	字符数（不计空格）	字符数（计入空格）	#文件数	
总共：    	4243	33377	   180489	   209094	  36	
剩余片段：  	4243	33377	   180489	   209094	  36	
独特片段：  	3859	32275	   173845	   201750	  36	
剩余独特片段：	3859	32275	   173845	   201750	  36	


各文件统计数据：

文件名                                           	总片段数	剩余片段数	独特片段数	剩余独特片段数	总单词数	剩余单词数	独特单词数	剩余独特单词数	总字符数（不计空格）	剩余字符数（不计空格）	独特字符数（不计空格）	剩余独特字符数（不计空格）	总字符数（计入空格）	剩余字符数（计入空格）	独特字符数（计入空格）	剩余独特字符数（计入空格）	
doc_src/en/App_Dictionaries.xml               	  23	   23	   23	     23	 230	  230	  230	    230	      1262	       1262	       1262	         1262	      1473	       1473	       1473	         1473	
doc_src/en/App_Glossaries.xml                 	  70	   70	   70	     70	1068	 1068	 1068	   1068	      5270	       5270	       5270	         5270	      6262	       6262	       6262	         6262	
doc_src/en/App_Regexp.xml                     	 164	  164	  143	    143	 785	  785	  716	    716	      4109	       4109	       3695	         3695	      4703	       4703	       4250	         4250	
doc_src/en/App_ShortCutCustomization.xml      	 333	  333	  304	    304	1065	 1065	 1004	   1004	      8485	       8485	       8176	         8176	      9102	       9102	       8761	         8761	
doc_src/en/App_Spellchecker.xml               	  39	   39	   39	     39	 733	  733	  733	    733	      3881	       3881	       3881	         3881	      4579	       4579	       4579	         4579	
doc_src/en/Dialogs_Preferences.xml            	 418	  418	  399	    399	5064	 5064	 4860	   4860	     26570	      26570	      25517	        25517	     31202	      31202	      29965	        29965	
doc_src/en/Dialogs_ProjectProperties.xml      	  58	   58	   55	     55	 853	  853	  847	    847	      4637	       4637	       4578	         4578	      5426	       5426	       5364	         5364	
doc_src/en/HowTo_ManageRTL.xml                	  37	   37	   37	     37	 621	  621	  621	    621	      3071	       3071	       3071	         3071	      3662	       3662	       3662	         3662	
doc_src/en/HowTo_PreventDataLoss.xml          	  21	   21	   21	     21	 294	  294	  294	    294	      1503	       1503	       1503	         1503	      1772	       1772	       1772	         1772	
doc_src/en/HowTo_ReuseTM.xml                  	  59	   59	   59	     59	1181	 1181	 1181	   1181	      5962	       5962	       5962	         5962	      7080	       7080	       7080	         7080	
doc_src/en/HowTo_SetUpTeamProject.xml         	  84	   84	   76	     76	 838	  838	  809	    809	      4695	       4695	       4401	         4401	      5390	       5390	       5090	         5090	
doc_src/en/HowTo_TranslatePDF.xml             	  27	   27	   27	     27	 342	  342	  342	    342	      1672	       1672	       1672	         1672	      1980	       1980	       1980	         1980	
doc_src/en/HowTo_UseTeamProject.xml           	  27	   27	   23	     23	 265	  265	  249	    249	      1361	       1361	       1260	         1260	      1601	       1601	       1488	         1488	
doc_src/en/InstallingAndRunning.xml           	 313	  313	  295	    295	3727	 3727	 3604	   3604	     19834	      19834	      19136	        19136	     23103	      23103	      22301	        22301	
doc_src/en/InstantStartGuide.xml              	  47	   47	   46	     46	 758	  758	  755	    755	      3641	       3641	       3615	         3615	      4333	       4333	       4307	         4307	
doc_src/en/Menus_Edit.xml                     	  64	   64	   47	     47	 682	  682	  618	    618	      3485	       3485	       3096	         3096	      4117	       4117	       3681	         3681	
doc_src/en/Menus_GoTo.xml                     	  27	   27	   16	     16	 244	  244	  208	    208	      1177	       1177	        969	          969	      1395	       1395	       1162	         1162	
doc_src/en/Menus_Help.xml                     	  12	   12	    9	      9	  76	   76	   72	     72	       419	        419	        391	          391	       483	        483	        454	          454	
doc_src/en/Menus_Options.xml                  	  25	   25	   17	     17	 208	  208	  181	    181	      1198	       1198	       1027	         1027	      1383	       1383	       1193	         1193	
doc_src/en/Menus_Project.xml                  	  56	   56	   44	     44	 452	  452	  410	    410	      2373	       2373	       2128	         2128	      2770	       2770	       2493	         2493	
doc_src/en/Menus_Tools.xml                    	  36	   36	   33	     33	 365	  365	  358	    358	      1887	       1887	       1840	         1840	      2219	       2219	       2168	         2168	
doc_src/en/Menus_View.xml                     	  36	   36	   26	     26	 329	  329	  299	    299	      1900	       1900	       1680	         1680	      2182	       2182	       1942	         1942	
doc_src/en/OmegaT4_Appendices.xml             	   1	    1	    1	      1	   1	    1	    1	      1	        10	         10	         10	           10	        10	         10	         10	           10	
doc_src/en/OmegaT4_EditorsPanes.xml           	 101	  101	   97	     97	1575	 1575	 1570	   1570	      7735	       7735	       7693	         7693	      9224	       9224	       9181	         9181	
doc_src/en/OmegaT4_HowTo.xml                  	   1	    1	    1	      1	   2	    2	    2	      2	         8	          8	          8	            8	         9	          9	          9	            9	
doc_src/en/OmegaT4_Menus.xml                  	   1	    1	    1	      1	   1	    1	    1	      1	         5	          5	          5	            5	         5	          5	          5	            5	
doc_src/en/OmegaT4_ProjectFolder.xml          	  86	   86	   83	     83	1043	 1043	 1028	   1028	      5339	       5339	       5263	         5263	      6294	       6294	       6206	         6206	
doc_src/en/OmegaT4_Troubleshooting.xml        	   1	    1	    1	      1	   1	    1	    1	      1	        15	         15	         15	           15	        15	         15	         15	           15	
doc_src/en/OmegaT4_WindowsAndDialogs.xml      	   2	    2	    2	      2	  41	   41	   41	     41	       202	        202	        202	          202	       241	        241	        241	          241	
doc_src/en/OmegaTUsersManual_xinclude full.xml	   5	    5	    5	      5	  27	   27	   27	     27	       153	        153	        153	          153	       176	        176	        176	          176	
doc_src/en/Windows_Aligner.xml                	  25	   25	   25	     25	 294	  294	  294	    294	      1501	       1501	       1501	         1501	      1772	       1772	       1772	         1772	
doc_src/en/Windows_ProjectFiles.xml           	  28	   28	   28	     28	 467	  467	  467	    467	      2394	       2394	       2394	         2394	      2836	       2836	       2836	         2836	
doc_src/en/Windows_Scripts.xml                	  36	   36	   32	     32	 343	  343	  343	    343	      1955	       1955	       1951	         1951	      2267	       2267	       2263	         2263	
doc_src/en/Windows_TextReplace.xml            	  13	   13	   13	     13	 197	  197	  197	    197	       998	        998	        998	          998	      1184	       1184	       1184	         1184	
doc_src/en/Windows_TextSearch.xml             	  77	   77	   77	     77	1111	 1111	 1111	   1111	      5516	       5516	       5516	         5516	      6579	       6579	       6579	         6579	
src/org/omegat/Bundle.properties              	1890	 1890	 1684	   1684	8094	 8094	 7733	   7733	     46266	      46266	      44006	        44006	     52265	      52265	      49846	        49846	
